"""'Runner type""","""'Failure rate""","""'Avg job run time""","""'Avg job queue time""","""'Job runs"""
"""'hosted""",0.02152358539877216,19693,1430,50
"""'hosted""",0.016879196376975117,20153,1527,53
"""'hosted""",0.027819622409790287,20259,1424,56
"""'hosted""",0.0305806761048808,20682,1469,51
"""'hosted""",0.01767627231150476,20588,1769,54
"""'hosted""",0.022149356503532794,20487,1495,59
"""'hosted""",0.030149767178787965,20838,1499,53
"""'hosted""",0.02836400599196482,20036,1711,52
"""'hosted""",0.029861213166161287,20170,1767,54
"""'hosted""",0.025245345525083635,20030,1406,54
"""'hosted""",0.03305724391215853,20118,1436,50
"""'hosted""",0.03132040793191869,19734,1463,52
"""'hosted""",0.02620800601073081,20241,1552,50
"""'hosted""",0.029703572465598165,19883,1323,48
"""'hosted""",0.024416663619437822,19412,1382,47
"""'hosted""",0.015703537685583815,19460,1476,52
"""'hosted""",0.019764637012234902,19786,1471,45
"""'hosted""",0.011138220565097005,19890,1436,40
"""'hosted""",0.018514398983611634,20206,1489,52
"""'hosted""",0.012318922190294793,20475,1424,47
"""'hosted""",0.010415434144429315,19744,1545,50
"""'hosted""",0.007084787115028758,19365,1565,55
"""'hosted""",0.01616748773968742,19087,1617,48
"""'hosted""",0.009282133635973256,19888,1554,50
"""'hosted""",0.008347795726232926,19657,1624,50
"""'hosted""",0.009579078209714468,19875,1645,53
"""'hosted""",0.015230097672992804,19916,1547,56
"""'hosted""",0.01594936779889566,20150,1528,56
"""'hosted""",0.01799629662722194,20594,1470,54
"""'hosted""",0.020074988106861823,20385,1436,47
"""'hosted""",0.030708238004352295,20333,1356,43
"""'hosted""",0.020047041826254507,20089,1427,49
"""'hosted""",0.02150615278540031,19891,1394,46
"""'hosted""",0.021808988881685337,20216,1581,47
"""'hosted""",0.030511345367651422,20292,1562,47
"""'hosted""",0.03430511550144884,20765,1497,45
"""'hosted""",0.028940827874677163,20186,1439,48
"""'hosted""",0.025744436568870092,20345,1445,47
"""'hosted""",0.025822812875226534,19800,1660,49
"""'hosted""",0.03276352910207504,19497,1608,46
"""'hosted""",0.0323765248938616,19475,1637,49
"""'hosted""",0.030147219596299932,19474,1459,52
"""'hosted""",0.02255030398648126,20277,1661,55
"""'hosted""",0.025228173046091613,19361,1601,53
"""'hosted""",0.02266254595388125,19852,1445,56
"""'hosted""",0.02109344298364507,19349,1462,54
"""'hosted""",0.022278026981563365,19942,1487,54
"""'hosted""",0.017050611313115405,19842,1440,57
"""'hosted""",0.01751671529243475,19760,1390,47
"""'hosted""",0.01290644709267052,19888,1393,48
"""'hosted""",0.012785342955605534,19804,1381,46
"""'hosted""",0.013645875966241165,20233,1426,41
"""'hosted""",0.0027690019470389344,20056,1553,45
"""'hosted""",0.008456424964530761,19906,1260,48
"""'hosted""",0.008137571565584485,19954,1481,44
"""'hosted""",0.008145356720938909,20432,1548,46
"""'hosted""",0.01119284048909264,20873,1588,49
"""'hosted""",0.021596854033247244,20441,1557,50
"""'hosted""",0.011603477990775785,20326,1458,47
"""'hosted""",0.022762274864779813,20394,1625,53
"""'hosted""",0.09158565114192095,25627,2425,70
"""'hosted""",0.10040469175824872,25213,2142,69
"""'hosted""",0.10488113175628302,24927,2303,71
"""'hosted""",0.10880896417972112,25282,2174,70
"""'hosted""",0.11098758115373822,24981,2161,72
"""'hosted""",0.11262699021384401,25226,2051,74
"""'hosted""",0.10776693980170936,24747,2087,77
"""'hosted""",0.10763345999035989,24271,2206,79
"""'hosted""",0.11423509835996849,24197,2148,69
"""'hosted""",0.10855404353854348,25096,2252,73
"""'hosted""",0.10228182242115479,25137,2230,67
"""'hosted""",0.10176501218475653,24608,2201,70
"""'hosted""",0.10128059109291668,24611,2340,67
"""'hosted""",0.10655317015102683,25246,2269,60
"""'hosted""",0.10279124558853042,24568,2331,68
"""'hosted""",0.10345242677033885,24732,2263,63
"""'hosted""",0.09578461986013975,25292,2304,64
"""'hosted""",0.09672533202462559,25074,2243,63
"""'hosted""",0.09725009944691197,25272,2366,65
"""'hosted""",0.09102181904662487,25289,2170,70
"""'hosted""",0.09362362214994269,25482,2297,69
"""'hosted""",0.08717980513171521,25821,2185,73
"""'hosted""",0.0882395118134919,25420,2259,74
"""'hosted""",0.08814609157632562,25555,2196,78
"""'hosted""",0.08451023660910327,24693,2259,74
"""'hosted""",0.09377460836608353,25220,2160,71
"""'hosted""",0.09022154004421243,24894,1976,78
"""'hosted""",0.0941846180707137,24684,2108,73
"""'hosted""",0.09833636686377152,24686,2042,76
"""'hosted""",0.10015353897197214,24753,2124,73
"""'hosted""",0.10332692554486392,25040,2321,70
"""'hosted""",0.10158668948563049,24294,2285,70
"""'hosted""",0.10195087487053721,24647,2208,73
"""'hosted""",0.10547926146839273,24462,2206,72
"""'hosted""",0.0989947760849838,24502,2301,65
"""'hosted""",0.10142469167572896,24920,2201,65
"""'hosted""",0.10289706710117953,24824,2233,68
"""'hosted""",0.10495898481567532,25127,2289,63
"""'hosted""",0.11194409008729991,24761,2327,68
"""'hosted""",0.10498316988615124,24692,2249,68
"""'hosted""",0.10676944126764742,24933,1982,71
"""'hosted""",0.11392758974370429,25172,2160,69
"""'hosted""",0.1040965326676176,25246,2119,68
"""'hosted""",0.10775494427309347,24949,2135,68
"""'hosted""",0.0974110285081282,25365,2231,71
"""'hosted""",0.09897281221066186,25449,1948,74
"""'hosted""",0.09317077281726949,26154,2088,74
"""'hosted""",0.0942374681897392,25956,2213,80
"""'hosted""",0.09832368816436227,25106,2073,76
"""'hosted""",0.08393194962926433,25222,2352,69
"""'hosted""",0.09351186417988488,24796,2294,71
