"""'Runtime OS""","""'Failure rate""","""'Avg job run time""","""'Avg job queue time""","""'Job runs"""
"""'linux""",0.021115398713126374,20483,1496,50
"""'linux""",0.02924518944120846,20864,1528,53
"""'linux""",0.02452496732162404,20071,1708,56
"""'linux""",0.028781737999573714,19693,1658,59
"""'linux""",0.027147532282810485,20245,1599,56
"""'linux""",0.02780821613202336,20295,1618,57
"""'linux""",0.025613153179324437,20342,1590,51
"""'linux""",0.0320967257484705,20059,1548,54
"""'linux""",0.025687533007753893,20536,1448,56
"""'linux""",0.03283849134451868,20466,1488,54
"""'linux""",0.034086689060073935,19787,1406,51
"""'linux""",0.029264105290960095,20357,1336,51
"""'linux""",0.02444660885514627,20666,1454,49
"""'linux""",0.026337194327301482,20001,1433,50
"""'linux""",0.02053575163044553,19752,1259,46
"""'linux""",0.024677735627325753,19722,1404,44
"""'linux""",0.00876385267074679,19876,1515,46
"""'linux""",0.014254596728648768,19119,1551,37
"""'linux""",0.004168087501455283,19656,1582,48
"""'linux""",0.005093247594090034,19484,1537,38
"""'linux""",0.018159057111225164,20174,1497,45
"""'linux""",0.014965359746906895,19610,1500,53
"""'linux""",0.006457379879893318,20227,1626,54
"""'linux""",0.002542263766112781,19476,1629,51
"""'linux""",0.0,20077,1690,53
"""'linux""",0.008622268422492443,20096,1652,59
"""'linux""",0.02467062680646307,19839,1524,53
"""'linux""",0.016296568834393503,20246,1400,61
"""'linux""",0.013134772138994551,20638,1440,53
"""'linux""",0.02024628413932394,20241,1453,53
"""'linux""",0.012195208235027776,19873,1397,55
"""'linux""",0.02059250009468941,20394,1355,49
"""'linux""",0.02456475379583669,20122,1422,44
"""'linux""",0.025447349263819485,20259,1373,46
"""'linux""",0.03138547886322435,20284,1385,45
"""'linux""",0.030383480169024646,19723,1491,41
"""'linux""",0.03285219525349152,19663,1468,44
"""'linux""",0.026503357542528937,20195,1554,44
"""'linux""",0.03443429599573547,19793,1586,50
"""'linux""",0.0376552499010715,19083,1495,49
"""'linux""",0.023809506439587326,20000,1560,49
"""'linux""",0.022992969976201157,19774,1714,51
"""'linux""",0.03255677420452589,19424,1494,54
"""'linux""",0.02311064649728271,19212,1395,56
"""'linux""",0.029098223868510395,19852,1385,52
"""'linux""",0.017787321440539086,19724,1502,52
"""'linux""",0.02519611097317597,20377,1468,58
"""'linux""",0.016590062653269257,19852,1426,53
"""'linux""",0.01541329159368875,19924,1511,49
"""'linux""",0.020392141853575584,19850,1188,53
"""'linux""",0.009530893574934758,20245,1433,51
"""'linux""",0.005783824357423672,20287,1538,44
"""'linux""",0.007811960006175495,20568,1345,48
"""'linux""",0.012316450799532962,20117,1435,48
"""'linux""",0.002660639476145891,20207,1440,46
"""'linux""",0.014527100475411227,20237,1463,47
"""'linux""",0.009874695157137342,20636,1538,41
"""'linux""",0.019861210780743085,20842,1701,47
"""'linux""",0.003961332044739644,20224,1745,46
"""'linux""",0.013988054216301567,20181,1572,47
"""'linux""",0.011567659243829466,20329,1739,53
"""'linux""",0.017947969576357824,20074,1567,56
"""'linux""",0.025305695936302705,20336,1674,58
"""'linux""",0.024981719395675953,19274,1493,58
"""'linux""",0.02616456041003386,19605,1476,54
"""'linux""",0.027864329680944072,19530,1465,56
"""'linux""",0.030527506366051255,18996,1668,57
"""'linux""",0.024902538743967195,19349,1470,54
"""'linux""",0.03347946715817798,19333,1345,53
"""'linux""",0.03282389501487896,19540,1491,54
"""'linux""",0.1105854437261249,24953,2107,70
"""'linux""",0.11021411546853026,24589,2127,66
"""'linux""",0.10735994252696804,24417,2273,66
"""'linux""",0.11424273294441334,24790,2237,68
"""'linux""",0.10164364605291505,25215,2287,65
"""'linux""",0.09846458390832712,24707,2288,66
"""'linux""",0.09415324519003554,24826,2325,67
"""'linux""",0.09077132021635284,25360,2332,65
"""'linux""",0.0878997885390699,25207,2132,69
"""'linux""",0.08812456517907147,25532,2318,70
"""'linux""",0.09098634405389527,25376,2156,66
"""'linux""",0.09216091047953703,25610,2085,76
"""'linux""",0.09031049133907808,25082,2161,71
"""'linux""",0.0862271046591687,25358,2142,69
"""'linux""",0.09499035765714828,25245,2058,72
"""'linux""",0.09503680932366036,24870,2168,72
"""'linux""",0.09177031020811596,24678,1994,75
"""'linux""",0.0908575667537517,25256,2081,73
"""'linux""",0.09867477317339098,24845,2089,72
"""'linux""",0.09886075102925294,24546,2162,73
"""'linux""",0.09275936370292476,24736,2222,71
"""'linux""",0.10173921562825558,25030,2154,69
"""'linux""",0.10537754549112989,23954,2322,68
"""'linux""",0.10137937859048596,24158,2292,68
"""'linux""",0.10838066521896117,24324,2147,59
"""'linux""",0.10138614161155544,25058,2142,64
"""'linux""",0.1161914956630124,24747,2286,59
"""'linux""",0.11618496887897989,24956,2247,66
"""'linux""",0.1086826322821679,24465,2226,67
"""'linux""",0.11132783685214691,24565,2198,72
"""'linux""",0.096610644208845,25134,2184,74
"""'linux""",0.1016497099534473,25117,2212,72
"""'linux""",0.10440895792216409,25357,2025,71
"""'linux""",0.09870670132362373,25218,2008,76
"""'linux""",0.10565109932133088,25421,2014,73
"""'linux""",0.10998648265373998,25428,2137,75
"""'linux""",0.09203780949467588,25633,2235,78
"""'linux""",0.09174531654881606,25635,2131,72
"""'linux""",0.09529938931862493,24876,2000,75
"""'linux""",0.10062413248772417,24634,2098,74
"""'linux""",0.08522787439945609,25536,2198,67
"""'linux""",0.09173461544858318,25504,2242,71
"""'linux""",0.09916127530038281,24744,2266,69
"""'linux""",0.08179598530542093,24392,2302,66
"""'linux""",0.08408408880281931,24882,2262,63
"""'linux""",0.08922171292985143,25044,2348,62
"""'linux""",0.08996560968094902,25231,2180,64
"""'linux""",0.09818515391584348,24793,2131,68
"""'linux""",0.0971409321683462,24496,2204,64
"""'linux""",0.08904607279361174,24333,2013,70
"""'linux""",0.10257705201450401,24623,2145,66
"""'linux""",0.09919142247139935,24572,2110,71
"""'linux""",0.11043960251546417,24422,2090,73
"""'linux""",0.10273991484074013,25422,2240,81
"""'linux""",0.10424837183926275,25436,2086,71
"""'linux""",0.11136591209186704,25341,2331,79
"""'linux""",0.11332519757463623,24823,2182,75
"""'linux""",0.11218571577336374,25449,2132,75
"""'linux""",0.10151723236675869,25466,2270,73
"""'linux""",0.1122007373625928,25470,2201,73
"""'linux""",0.10348871377947241,25755,2238,70
